4 4
8, 6, 0, 1, 13, 0, 14, 0, 15, 0, 0, 7, 11, 4, 0, 0, 
14, 0, 9, 0, 6, 2, 11, 0, 0, 5, 0, 4, 0, 10, 3, 0,  
0, 11, 0, 0, 0, 0, 9, 0, 16, 2, 0, 0, 0, 6,  7, 14, 
2, 0, 0, 15, 0, 0, 3, 1, 11, 6, 14, 0, 8, 0, 0, 9, 
15, 14, 0, 0, 9, 11, 0, 5, 12, 0, 0, 16, 0, 0, 4, 6, 
0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0,  0, 9, 0, 0, 0, 
12, 10, 16, 11, 0, 0, 0, 0, 0, 15, 0, 0, 2, 1, 14, 0,  
0, 0, 0, 4, 8, 0, 0, 14, 0, 0, 0, 13, 12, 15, 0, 5, 
7, 0, 12, 9, 15, 0, 0, 0, 14, 0, 0, 6, 5, 0, 0, 0, 
0, 8, 10, 5, 0, 0, 1, 0, 0, 0, 0, 0, 14, 13, 15, 7, 
0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 6, 0, 
16, 15, 0, 0, 12, 0, 0, 4, 3, 0, 13, 2, 0, 0, 1, 11, 
10, 0, 0, 12, 0, 8, 4, 13, 6, 16, 0, 0, 1, 0, 0, 15, 
1, 3, 11, 0, 0, 0, 5, 16, 0, 13, 0, 0, 0, 0, 8, 0, 
0, 4, 15, 0, 10, 0, 6, 0, 0, 8, 9, 12, 0, 11, 0, 16, 
0, 0, 2, 8, 11, 0, 0, 15, 0, 14, 0, 3, 6, 0, 13, 10, 

